Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2000-01-03,3.689567804336548,5.179999828338623,5.179999828338623,5.099999904632568,5.099999904632568,82500,AXISBANK.NS
2000-01-04,3.832022190093994,5.380000114440918,5.510000228881836,5.079999923706055,5.400000095367432,494000,AXISBANK.NS
2000-01-05,3.732304096221924,5.239999771118164,5.420000076293945,5.0,5.010000228881836,383000,AXISBANK.NS
2000-01-06,3.6397082805633545,5.110000133514404,5.300000190734863,5.0,5.300000190734863,164500,AXISBANK.NS
2000-01-07,3.4616405963897705,4.860000133514404,5.21999979019165,4.800000190734863,5.0,149000,AXISBANK.NS
2000-01-10,3.568480968475342,5.010000228881836,5.239999771118164,5.0,5.150000095367432,214000,AXISBANK.NS
2000-01-11,3.390413522720337,4.760000228881836,5.099999904632568,4.619999885559082,5.0,174000,AXISBANK.NS
2000-01-12,3.4046590328216553,4.78000020980835,4.900000095367432,4.71999979019165,4.739999771118164,85000,AXISBANK.NS
2000-01-13,3.3619225025177,4.71999979019165,4.900000095367432,4.699999809265137,4.800000190734863,75500,AXISBANK.NS
2000-01-14,3.3334317207336426,4.679999828338623,4.71999979019165,4.599999904632568,4.630000114440918,83000,AXISBANK.NS
2000-01-17,3.5969717502593994,5.050000190734863,5.050000190734863,5.0,5.0,258500,AXISBANK.NS
2000-01-18,3.5827267169952393,5.03000020980835,5.300000190734863,4.949999809265137,5.300000190734863,249500,AXISBANK.NS
2000-01-19,3.6325860023498535,5.099999904632568,5.199999809265137,5.0,5.199999809265137,126000,AXISBANK.NS
2000-01-20,3.4616405963897705,4.860000133514404,5.179999828338623,4.800000190734863,5.099999904632568,197000,AXISBANK.NS
2000-01-21,3.547114133834839,4.980000019073486,5.0,4.800000190734863,4.800000190734863,270500,AXISBANK.NS
2000-01-24,3.5898492336273193,5.039999961853027,5.360000133514404,4.980000019073486,5.099999904632568,381000,AXISBANK.NS
2000-01-25,3.532867431640625,4.960000038146973,5.099999904632568,4.940000057220459,4.980000019073486,305500,AXISBANK.NS
2000-01-26,3.532867431640625,4.960000038146973,4.960000038146973,4.960000038146973,4.960000038146973,0,AXISBANK.NS
2000-01-27,3.7892844676971436,5.320000171661377,5.349999904632568,4.900000095367432,4.900000095367432,391000,AXISBANK.NS
2000-01-28,4.088439464569092,5.739999771118164,5.739999771118164,5.400000095367432,5.510000228881836,338000,AXISBANK.NS
2000-01-31,4.408962726593018,6.190000057220459,6.190000057220459,6.179999828338623,6.179999828338623,372500,AXISBANK.NS
2000-02-01,4.757974624633789,6.679999828338623,6.679999828338623,6.579999923706055,6.579999923706055,72000,AXISBANK.NS
2000-02-02,5.13547945022583,7.210000038146973,7.210000038146973,7.210000038146973,7.210000038146973,26500,AXISBANK.NS
2000-02-03,5.541473865509033,7.78000020980835,7.78000020980835,7.78000020980835,7.78000020980835,71000,AXISBANK.NS
2000-02-04,5.983081340789795,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,90500,AXISBANK.NS
2000-02-07,5.662559509277344,7.949999809265137,9.069999694824219,7.860000133514404,9.069999694824219,2919500,AXISBANK.NS
2000-02-08,5.5129828453063965,7.739999771118164,8.399999618530273,7.5,8.199999809265137,1300000,AXISBANK.NS
2000-02-09,5.249443054199219,7.369999885559082,7.960000038146973,7.130000114440918,7.909999847412109,641500,AXISBANK.NS
2000-02-10,5.662559509277344,7.949999809265137,7.949999809265137,7.300000190734863,7.619999885559082,1025000,AXISBANK.NS
2000-02-11,5.911856174468994,8.300000190734863,8.579999923706055,8.199999809265137,8.539999961853027,3139500,AXISBANK.NS
2000-02-14,5.441755771636963,7.639999866485596,8.960000038146973,7.639999866485596,8.960000038146973,1199500,AXISBANK.NS
2000-02-15,5.106987953186035,7.170000076293945,7.579999923706055,7.070000171661377,7.400000095367432,755000,AXISBANK.NS
2000-02-16,5.456000804901123,7.659999847412109,7.739999771118164,7.199999809265137,7.199999809265137,328500,AXISBANK.NS
