Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2000-01-03,74.5850830078125,122.0718765258789,122.0718765258789,122.0703125,122.0703125,657536,INFY.NS
2000-01-04,80.45967102050781,131.6867218017578,131.837890625,126.9765625,131.25,7191808,INFY.NS
2000-01-05,74.02303314208984,121.1519546508789,126.953125,121.1519546508789,122.6640625,21069440,INFY.NS
2000-01-06,68.10116577148438,111.45976257324219,119.53125,111.45976257324219,119.19258117675781,10495616,INFY.NS
2000-01-07,62.653038024902344,102.54296875,102.54296875,102.54296875,102.54296875,971392,INFY.NS
2000-01-10,65.66886901855469,107.4789047241211,110.74609375,94.33984375,102.54296875,30230400,INFY.NS
2000-01-11,60.41553497314453,98.880859375,107.8125,98.880859375,103.125,15658368,INFY.NS
2000-01-12,62.42416763305664,102.1683578491211,104.2890625,91.921875,93.359375,25993472,INFY.NS
2000-01-13,57.71306228637695,94.45780944824219,102.7265625,93.99491882324219,102.34375,20038400,INFY.NS
2000-01-14,58.12263107299805,95.12812805175781,96.0703125,87.5234375,95.6953125,16040064,INFY.NS
2000-01-17,56.664371490478516,92.74140930175781,100.6640625,91.5625,95.3125,18092928,INFY.NS
2000-01-18,56.97346115112305,93.24726867675781,95.0703125,88.4765625,91.7164077758789,20290944,INFY.NS
2000-01-19,61.52820587158203,100.70195007324219,100.70703125,97.03125,98.015625,19994752,INFY.NS
2000-01-20,60.84656524658203,99.5863265991211,105.8671875,98.5234375,103.125,19778560,INFY.NS
2000-01-21,64.0597915649414,104.8453140258789,106.171875,97.6796875,100.78125,20786048,INFY.NS
2000-01-24,66.24883270263672,108.4281234741211,113.1953125,106.25,106.25,25256320,INFY.NS
2000-01-25,67.3495864868164,110.22969055175781,111.328125,104.6878890991211,107.8125,20469632,INFY.NS
2000-01-26,67.3495864868164,110.22969055175781,110.22969055175781,110.22969055175781,110.22969055175781,0,INFY.NS
2000-01-27,70.55777740478516,115.48046875,118.75,113.953125,118.28125,12953792,INFY.NS
2000-01-28,72.66570281982422,118.93046569824219,120.296875,116.03125,116.03125,17281536,INFY.NS
2000-01-31,68.94386291503906,112.83906555175781,117.875,111.359375,117.7421875,7598272,INFY.NS
2000-02-01,70.81218719482422,115.8968734741211,116.40625,111.71875,113.28125,7055424,INFY.NS
2000-02-02,70.31958770751953,115.09062194824219,120.3125,114.8359375,118.59375,9491520,INFY.NS
2000-02-03,71.03559875488281,116.26249694824219,117.34375,115.15625,115.875,6032064,INFY.NS
2000-02-04,75.3903579711914,123.38984680175781,124.21875,116.796875,116.796875,20176704,INFY.NS
2000-02-07,81.11125183105469,132.7531280517578,133.26171875,123.421875,123.421875,16988608,INFY.NS
2000-02-08,84.94905090332031,139.0343780517578,142.96875,132.734375,132.734375,14902784,INFY.NS
2000-02-09,83.14995574951172,136.08984375,146.859375,134.375,146.859375,10595520,INFY.NS
2000-02-10,87.91618347167969,143.890625,144.921875,137.484375,137.484375,18777728,INFY.NS
2000-02-11,94.94975280761719,155.40234375,155.40234375,144.828125,144.828125,2100224,INFY.NS
2000-02-14,102.54615020751953,167.8351593017578,167.8351593017578,167.8351593017578,167.8351593017578,1518912,INFY.NS
2000-02-15,95.10250091552734,155.65234375,167.8351593017578,154.40859985351562,167.8351593017578,21339968,INFY.NS
2000-02-16,95.82903289794922,156.84140014648438,160.9375,150.546875,157.03125,12720448,INFY.NS
2000-02-17,98.31549835205078,160.9109344482422,168.75,156.25,156.25,12125248,INFY.NS
2000-02-18,94.17501831054688,154.13436889648438,164.0625,152.734375,162.796875,10628288,INFY.NS
2000-02-21,97.89971923828125,160.23046875,164.0625,151.578125,153.90625,17751552,INFY.NS
2000-02-22,93.84568786621094,153.59530639648438,161.546875,152.34375,161.546875,12066560,INFY.NS
2000-02-23,87.97298431396484,143.9835968017578,164.0625,141.3078155517578,164.0625,11944576,INFY.NS
2000-02-24,88.75628662109375,145.265625,150.765625,140.4375,146.71875,8260480,INFY.NS
